make_model,body_type,price,vat,km,type,fuel,gears,comfort_convenience,entertainment_media,extras,safety_security,age,previous_owners,hp_kw,inspection_new,paint_type,upholstery_type,gearing_type,displacement_cc,weight_kg,drive_chain,cons_comb
opel_astra,sedans,10400,price_negotiable,64800.0,used,benzine,5.0,"['air_conditioning', 'armrest', 'cruise_control', 'electrical_side_mirrors', 'heated_steering_wheel', 'hill_holder', 'leather_steering_wheel', 'multi_function_steering_wheel', 'power_windows', 'seat_heating', 'split_rear_seats']","['bluetooth', 'hands_free_equipment', 'mp3', 'on_board_computer', 'radio', 'usb']","['alloy_wheels', 'touch_screen']","['abs', 'central_door_lock', 'daytime_running_lights', 'driver_side_airbag', 'electronic_stability_control', 'passenger_side_airbag', 'power_steering', 'side_airbag', 'tire_pressure_monitoring_system', 'traction_control']",3.0,1.0,77.0,0,metallic,part/full_leather,manual,998.0,1273.0,front,4.2
opel_astra,station_wagon,11990,vat_deductible,89900.0,used,diesel,6.0,"['air_conditioning', 'armrest', 'automatic_climate_control', 'cruise_control', 'leather_steering_wheel', 'light_sensor', 'lumbar_support', 'multi_function_steering_wheel', 'navigation_system', 'park_distance_control', 'parking_assist_system_sensors_front', 'parking_assist_system_sensors_rear', 'power_windows', 'rain_sensor', 'split_rear_seats', 'start_stop_system', 'tinted_windows']","['bluetooth', 'cd_player', 'digital_radio', 'hands_free_equipment', 'mp3', 'on_board_computer', 'radio', 'usb']","['catalytic_converter', 'roof_rack', 'sport_package', 'touch_screen', 'voice_control']","['abs', 'adaptive_headlights', 'alarm_system', 'central_door_lock', 'central_door_lock_with_remote_control', 'daytime_running_lights', 'driver_drowsiness_detection', 'driver_side_airbag', 'electronic_stability_control', 'fog_lights', 'head_airbag', 'isofix', 'led_daytime_running_lights', 'led_headlights', 'passenger_side_airbag', 'power_steering', 'rear_airbag', 'side_airbag', 'tire_pressure_monitoring_system', 'traffic_sign_recognition']",3.0,1.0,100.0,0,metallic,cloth,automatic,1598.0,1425.0,front,4.7
opel_corsa,compact,15889,vat_deductible,10.0,pre_registered,benzine,6.0,"['air_conditioning', 'cruise_control', 'electrical_side_mirrors', 'heated_steering_wheel', 'hill_holder', 'leather_steering_wheel', 'multi_function_steering_wheel', 'park_distance_control', 'parking_assist_system_sensors_rear', 'power_windows', 'seat_heating']","['bluetooth', 'hands_free_equipment', 'mp3', 'on_board_computer', 'radio', 'usb']","['alloy_wheels', 'catalytic_converter']","['abs', 'central_door_lock', 'daytime_running_lights', 'driver_side_airbag', 'electronic_stability_control', 'fog_lights', 'immobilizer', 'isofix', 'passenger_side_airbag', 'power_steering', 'side_airbag', 'tire_pressure_monitoring_system', 'traction_control']",0.0,1.0,66.0,1,metallic,cloth,automatic,1398.0,1163.0,front,6.3
opel_insignia,station_wagon,14400,vat_deductible,81076.0,used,diesel,6.0,"['air_conditioning', 'armrest', 'automatic_climate_control', 'cruise_control', 'electrically_adjustable_seats', 'electrical_side_mirrors', 'electric_tailgate', 'leather_steering_wheel', 'light_sensor', 'lumbar_support', 'multi_function_steering_wheel', 'park_distance_control', 'parking_assist_system_sensors_front', 'parking_assist_system_sensors_rear', 'power_windows', 'rain_sensor', 'split_rear_seats', 'tinted_windows']","['bluetooth', 'cd_player', 'hands_free_equipment', 'mp3', 'on_board_computer', 'radio', 'usb']","['alloy_wheels', 'catalytic_converter', 'touch_screen']","['abs', 'central_door_lock', 'central_door_lock_with_remote_control', 'daytime_running_lights', 'driver_side_airbag', 'electronic_stability_control', 'fog_lights', 'immobilizer', 'isofix', 'led_daytime_running_lights', 'passenger_side_airbag', 'power_steering', 'side_airbag', 'tire_pressure_monitoring_system', 'traction_control']",3.0,1.0,125.0,0,metallic,part/full_leather,automatic,1956.0,1733.0,front,5.7
audi_a1,compact,15290,vat_deductible,21258.0,used,diesel,5.0,"['air_conditioning', 'armrest', 'multi_function_steering_wheel', 'power_windows', 'start_stop_system']","['bluetooth', 'on_board_computer', 'radio']",['alloy_wheels'],"['abs', 'central_door_lock', 'daytime_running_lights', 'driver_side_airbag', 'electronic_stability_control', 'fog_lights', 'isofix', 'passenger_side_airbag', 'power_steering', 'side_airbag', 'tire_pressure_monitoring_system', 'traction_control']",2.0,2.0,66.0,0,metallic,cloth,manual,1422.0,1195.0,front,3.7
audi_a3,sedans,20800,vat_deductible,20000.0,used,diesel,6.0,"['air_conditioning', 'armrest', 'automatic_climate_control', 'electrical_side_mirrors', 'leather_steering_wheel', 'light_sensor', 'lumbar_support', 'multi_function_steering_wheel', 'navigation_system', 'park_distance_control', 'parking_assist_system_sensors_rear', 'power_windows', 'rain_sensor', 'seat_heating']","['bluetooth', 'cd_player', 'digital_radio', 'hands_free_equipment', 'mp3', 'on_board_computer', 'radio', 'sound_system', 'usb']","['alloy_wheels', 'sport_package', 'sport_seats', 'sport_suspension', 'touch_screen']","['abs', 'central_door_lock', 'driver_drowsiness_detection', 'driver_side_airbag', 'electronic_stability_control', 'fog_lights', 'immobilizer', 'isofix', 'led_headlights', 'passenger_side_airbag', 'power_steering', 'side_airbag', 'traction_control', 'xenon_headlights']",1.0,1.0,85.0,0,metallic,cloth,manual,1598.0,1260.0,front,4.0
audi_a1,sedans,18880,vat_deductible,11335.0,employee's_car,benzine,7.0,"['air_conditioning', 'armrest', 'automatic_climate_control', 'electrical_side_mirrors', 'hill_holder', 'leather_steering_wheel', 'light_sensor', 'lumbar_support', 'multi_function_steering_wheel', 'park_distance_control', 'parking_assist_system_sensors_front', 'parking_assist_system_sensors_rear', 'power_windows', 'rain_sensor', 'start_stop_system']","['bluetooth', 'cd_player', 'hands_free_equipment', 'mp3', 'on_board_computer', 'radio', 'sound_system', 'usb']","['alloy_wheels', 'catalytic_converter', 'sport_seats', 'voice_control']","['abs', 'central_door_lock', 'daytime_running_lights', 'driver_side_airbag', 'electronic_stability_control', 'fog_lights', 'immobilizer', 'isofix', 'led_daytime_running_lights', 'passenger_side_airbag', 'power_steering', 'side_airbag', 'tire_pressure_monitoring_system', 'traction_control', 'xenon_headlights']",1.0,1.0,70.0,1,metallic,cloth,automatic,999.0,1135.0,front,4.4
audi_a3,sedans,26900,vat_deductible,70000.0,used,diesel,7.0,"['air_conditioning', 'armrest', 'automatic_climate_control', 'auxiliary_heating', 'cruise_control', 'electrically_adjustable_seats', 'electrical_side_mirrors', 'keyless_central_door_lock', 'light_sensor', 'lumbar_support', 'multi_function_steering_wheel', 'navigation_system', 'parking_assist_system_sensors_front', 'parking_assist_system_sensors_rear', 'power_windows', 'rain_sensor', 'seat_heating', 'seat_ventilation', 'split_rear_seats', 'start_stop_system', 'tinted_windows']","['bluetooth', 'digital_radio', 'on_board_computer', 'radio', 'sound_system']","['alloy_wheels', 'roof_rack', 'sport_package', 'sport_seats', 'sport_suspension', 'voice_control']","['abs', 'adaptive_cruise_control', 'adaptive_headlights', 'alarm_system', 'central_door_lock', 'driver_drowsiness_detection', 'driver_side_airbag', 'fog_lights', 'head_airbag', 'immobilizer', 'lane_departure_warning_system', 'led_daytime_running_lights', 'led_headlights', 'night_view_assist', 'passenger_side_airbag', 'power_steering', 'rear_airbag', 'side_airbag', 'tire_pressure_monitoring_system', 'traction_control', 'traffic_sign_recognition', 'xenon_headlights']",2.0,1.0,110.0,0,metallic,cloth,semi_automatic,1968.0,1415.0,front,4.4
audi_a3,station_wagon,19100,vat_deductible,40700.0,used,benzine,7.0,"['air_conditioning', 'armrest', 'automatic_climate_control', 'cruise_control', 'hill_holder', 'leather_steering_wheel', 'light_sensor', 'multi_function_steering_wheel', 'navigation_system', 'power_windows', 'rain_sensor', 'seat_heating', 'start_stop_system']","['bluetooth', 'cd_player', 'hands_free_equipment', 'mp3', 'on_board_computer', 'radio']","['alloy_wheels', 'sport_seats']","['abs', 'central_door_lock_with_remote_control', 'driver_side_airbag', 'electronic_stability_control', 'fog_lights', 'head_airbag', 'isofix', 'led_daytime_running_lights', 'led_headlights', 'passenger_side_airbag', 'power_steering', 'side_airbag', 'traction_control']",2.0,1.0,85.0,0,metallic,cloth,automatic,999.0,1275.0,front,4.5
opel_insignia,station_wagon,18900,vat_deductible,21903.0,used,diesel,6.0,"['air_conditioning', 'armrest', 'automatic_climate_control', 'cruise_control', 'electrically_adjustable_seats', 'electrical_side_mirrors', 'electric_tailgate', 'keyless_central_door_lock', 'leather_steering_wheel', 'light_sensor', 'lumbar_support', 'multi_function_steering_wheel', 'navigation_system', 'park_distance_control', 'parking_assist_system_camera', 'parking_assist_system_sensors_front', 'parking_assist_system_sensors_rear', 'power_windows', 'rain_sensor', 'start_stop_system']","['bluetooth', 'hands_free_equipment', 'on_board_computer', 'radio', 'usb']","['alloy_wheels', 'roof_rack', 'ski_bag', 'touch_screen', 'voice_control']","['abs', 'adaptive_headlights', 'central_door_lock', 'daytime_running_lights', 'driver_side_airbag', 'electronic_stability_control', 'emergency_brake_assistant', 'emergency_system', 'fog_lights', 'immobilizer', 'isofix', 'lane_departure_warning_system', 'led_daytime_running_lights', 'led_headlights', 'passenger_side_airbag', 'power_steering', 'side_airbag', 'tire_pressure_monitoring_system', 'traction_control', 'traffic_sign_recognition']",2.0,1.0,125.0,0,metallic,part/full_leather,manual,1956.0,1487.0,front,5.3
