make_model,body_type,price,vat,km,type,fuel,gears,comfort_convenience,entertainment_media,extras,safety_security,age,previous_owners,hp_kw,inspection_new,paint_type,upholstery_type,gearing_type,displacement_cc,weight_kg,drive_chain,cons_comb
audi_a1,compact,16680,vat_deductible,26123.0,employee's_car,diesel,5.0,"['Air conditioning', 'Armrest', 'Automatic climate control', 'Cruise control', 'Electrical side mirrors', 'Light sensor', 'Multi-function steering wheel', 'Navigation system', 'Park Distance Control', 'Parking assist system sensors front', 'Parking assist system sensors rear', 'Power windows', 'Rain sensor', 'Seat heating']","['Bluetooth', 'CD player', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'Sound system', 'USB']","['Alloy wheels', 'Sport seats', 'Voice Control']","['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control', 'Xenon headlights']",1.0,1.0,66.0,0,metallic,cloth,manual,1422.0,1180.0,front,4.1
opel_corsa,compact,8455,vat_deductible,63992.0,used,benzine,5.0,"['Air conditioning', 'Cruise control', 'Multi-function steering wheel', 'Park Distance Control', 'Parking assist system sensors rear', 'Seat heating']",['Bluetooth'],['Alloy wheels'],"['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Isofix', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",2.0,2.0,66.0,0,metallic,cloth,manual,1398.0,1163.0,front,5.2
opel_astra,compact,12990,vat_deductible,64000.0,used,diesel,6.0,"['Cruise control', 'Hill Holder', 'Multi-function steering wheel', 'Rain sensor', 'Start-stop system']","['Hands-free equipment', 'On-board computer', 'Radio']",['Alloy wheels'],"['Isofix', 'Tire pressure monitoring system']",2.0,1.0,81.0,0,metallic,part/full_leather,manual,1598.0,1350.0,front,3.0
opel_corsa,compact,15250,vat_deductible,10.0,pre_registered,benzine,6.0,"['Air conditioning', 'Cruise control', 'Electrically heated windshield', 'Electrical side mirrors', 'Heated steering wheel', 'Leather steering wheel', 'Light sensor', 'Multi-function steering wheel', 'Park Distance Control', 'Parking assist system sensors front', 'Parking assist system sensors rear', 'Power windows', 'Rain sensor', 'Seat heating']","['Bluetooth', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'USB']","['Alloy wheels', 'Catalytic Converter', 'Sport package', 'Touch screen']","['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Fog lights', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",0.0,1.0,66.0,1,metallic,cloth,automatic,1398.0,1163.0,front,6.0
opel_insignia,station_wagon,17990,vat_deductible,41000.0,used,diesel,6.0,"['Air conditioning', 'Armrest', 'Automatic climate control', 'Cruise control', 'Electrically adjustable seats', 'Electrical side mirrors', 'Leather steering wheel', 'Navigation system', 'Power windows', 'Rain sensor', 'Start-stop system']","['CD player', 'On-board computer', 'Radio']","['Alloy wheels', 'Roof rack']","['ABS', 'Central door lock', 'Driver-side airbag', 'Electronic stability control', 'Emergency brake assistant', 'Isofix', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Traction control']",2.0,1.0,100.0,0,metallic,cloth,manual,1598.0,1487.0,front,5.6
opel_astra,station_wagon,16725,vat_deductible,37770.0,used,benzine,5.0,"['Air conditioning', 'Armrest', 'Automatic climate control', 'Cruise control', 'Leather steering wheel', 'Light sensor', 'Multi-function steering wheel', 'Navigation system', 'Park Distance Control', 'Parking assist system sensors front', 'Parking assist system sensors rear', 'Power windows', 'Rain sensor']","['Bluetooth', 'CD player', 'Hands-free equipment', 'On-board computer', 'Radio']",['Alloy wheels'],"['Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Isofix', 'LED Daytime Running Lights', 'Passenger-side airbag', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",2.0,1.0,77.0,0,metallic,cloth,automatic,999.0,1178.0,front,4.6
opel_corsa,sedans,9950,vat_deductible,6500.0,used,benzine,5.0,"['Air conditioning', 'Electrical side mirrors', 'Multi-function steering wheel', 'Power windows']","['Bluetooth', 'CD player', 'Hands-free equipment', 'On-board computer']",['Alloy wheels'],"['ABS', 'Central door lock', 'Driver-side airbag', 'Electronic stability control', 'Immobilizer', 'Isofix', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Traction control']",1.0,1.0,66.0,0,metallic,cloth,manual,1398.0,1141.0,front,5.6
audi_a3,sedans,15999,vat_deductible,40354.0,used,benzine,6.0,"['Air conditioning', 'Electrical side mirrors', 'Power windows', 'Start-stop system']","['CD player', 'On-board computer', 'Radio']",['Trailer hitch'],"['ABS', 'Central door lock', 'Driver-side airbag', 'Electronic stability control', 'Immobilizer', 'Isofix', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",3.0,1.0,81.0,1,metallic,cloth,manual,1197.0,1360.0,front,4.9
audi_a1,compact,23467,vat_deductible,6100.0,used,benzine,7.0,"['Air conditioning', 'Armrest', 'Automatic climate control', 'Cruise control', 'Electrical side mirrors', 'Hill Holder', 'Leather steering wheel', 'Light sensor', 'Multi-function steering wheel', 'Park Distance Control', 'Parking assist system sensors rear', 'Power windows', 'Rain sensor', 'Seat heating', 'Start-stop system']","['Bluetooth', 'Hands-free equipment', 'MP3', 'Sound system', 'USB']","['Alloy wheels', 'Catalytic Converter']","['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Emergency brake assistant', 'Emergency system', 'Immobilizer', 'Isofix', 'Lane departure warning system', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",0.0,1.0,85.0,0,metallic,cloth,automatic,999.0,1180.0,front,4.9
opel_corsa,compact,9900,vat_deductible,74.0,used,benzine,5.0,"['Air conditioning', 'Electrical side mirrors', 'Hill Holder', 'Power windows']","['CD player', 'Radio']",['Alloy wheels'],"['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Isofix', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Traction control']",1.0,2.0,51.0,0,metallic,cloth,manual,1229.0,1163.0,front,5.8
audi_a3,sedans,27000,price_negotiable,47000.0,used,diesel,6.0,"['Air conditioning', 'Armrest', 'Automatic climate control', 'Cruise control', 'Electrical side mirrors', 'Keyless central door lock', 'Leather steering wheel', 'Multi-function steering wheel', 'Navigation system', 'Parking assist system sensors front', 'Parking assist system sensors rear', 'Power windows', 'Split rear seats', 'Start-stop system', 'Tinted windows']","['Bluetooth', 'CD player', 'Hands-free equipment', 'On-board computer', 'Radio', 'USB']","['Alloy wheels', 'Shift paddles', 'Sport package', 'Sport seats', 'Voice Control']","['ABS', 'Adaptive Cruise Control', 'Alarm system', 'Central door lock', 'Driver drowsiness detection', 'Driver-side airbag', 'Fog lights', 'Head airbag', 'Immobilizer', 'Isofix', 'Lane departure warning system', 'Passenger-side airbag', 'Power steering', 'Rear airbag', 'Side airbag', 'Tire pressure monitoring system', 'Traction control', 'Xenon headlights']",3.0,1.0,110.0,0,metallic,cloth,semi_automatic,1968.0,1400.0,front,4.5
